,dimension,avgs_sla,stds_sla,avgs_np,stds_np
84,8400,2.556530737876892,0.19516662654880806,2.029966878890991,0.07041912676839548
85,8500,2.5158770084381104,0.045015631300020016,2.0749121427536013,0.04122719634183394
86,8600,2.5839407682418822,0.06114498747203307,2.1244760751724243,0.1230357079097385
87,8700,2.7112167835235597,0.047818108553536146,2.1965460062026976,0.03765997930705351
88,8800,2.7726415395736694,0.08401435242128782,2.246784734725952,0.04813558852819601
89,8900,2.883165645599365,0.07148947634075585,2.3408092975616457,0.08258717447203018
90,9000,2.9386719942092894,0.06548912413342656,2.371873927116394,0.06358501858597598
91,9100,3.0661543369293214,0.09734010303606831,2.4854588508605957,0.08949717557073804
92,9200,3.0641305685043334,0.07654020206723218,2.5056554794311525,0.042377474324968634
93,9300,3.1533620357513428,0.07436644791282555,2.6126549005508424,0.07563504071189482
94,9400,3.297555088996887,0.1399277221324752,2.7466827392578126,0.1191417879700394
95,9500,3.3453512668609617,0.09947123804808657,2.764628863334656,0.08227119814421917
96,9600,3.591938018798828,0.14323365682532826,2.872095537185669,0.05317626627818774
97,9700,3.5043235778808595,0.09129496982541868,2.9033523082733153,0.09850805747815561
98,9800,3.5804059982299803,0.09736006902549386,2.9560821056365967,0.13170119065963024
99,9900,3.676155114173889,0.1238147733749316,3.0487130880355835,0.13461452920829375
100,10000,3.7932300090789797,0.10425191727397885,3.130945658683777,0.08140413194053361
